recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob,labels
a good easy garlic chicken,0.15538461538461534,0.3,0.3033333333333333,0.15333333333333332,0.094,0.0056666666666666645,0.008,0.552,0.031746031746031744,0.0704,0.03333333333333333,0.023,0.05555555555555555,0.0,0.95,0.5,0.0875,0.015,214,-0.3363655186666669,4.289473519254528,0.999101819708818,0
a jerky chicken,0.04153846153846154,0.05,0.22666666666666666,0.4091666666666667,0.11,0.045,0.012,0.57,0.31746031746031744,0.012,0.06666666666666668,0.032,0.05555555555555555,0.0,0.95,0.5,0.1075,0.02,197,0.25128944000000025,4.477107037871645,0.7969745495468167,0
acapulco chicken,0.21384615384615385,0.15,0.24,0.2645833333333333,0.212,0.07933333333333334,0.196,0.602,0.19047619047619047,0.4538,1.4333333333333331,0.064,0.16666666666666666,0.0,0.95,0.5,0.1475,0.105,333,-0.06661897733333334,4.2074890589802685,0.8763181840497751,3
actually delicious turkey burgers,0.14615384615384616,0.15,0.3,0.1475,0.08342857142857144,0.007666666666666665,0.008,0.418,0.0,0.0232,0.03333333333333333,0.023,0.1111111111111111,0.0,0.4,0.0,0.06,0.035,183,0.1855558839999996,4.453058454780338,0.999657111246629,0
adobo chicken with ginger,0.5276923076923077,0.5,0.5666666666666667,0.5679166666666666,0.15028571428571427,0.017666666666666667,0.02,0.884,0.0,0.0646,0.11666666666666667,0.048,0.16666666666666666,0.0,1.2,0.5,0.1475,0.0425,517,-4.196160614666666,4.344913498032918,0.9862831842635849,2
african chicken stew,0.5538461538461539,0.35,0.3333333333333333,0.25833333333333336,0.236,0.105,0.256,0.8740000000000001,0.12698412698412698,0.0826,0.26666666666666666,0.07200000000000001,0.2222222222222222,0.0,0.75,0.5,0.2925,0.2525,615,-1.4645437879999998,4.381516980036359,0.5722232386017698,2
aimees quick chicken,0.11076923076923076,0.15,0.27,0.7470833333333333,0.07285714285714286,0.029333333333333336,0.0,0.648,0.09523809523809523,0.0122,0.0,0.127,0.05555555555555555,0.0,0.85,0.0,0.095,0.015,242,-2.167525269333334,4.3605358047024705,0.9956668982669327,0
alaska salmon bake with pecan crunch coating,0.3446153846153846,0.3,0.3033333333333333,0.14708333333333334,0.11714285714285715,0.053,0.076,0.522,0.19047619047619047,0.0846,0.18333333333333326,0.04,0.05555555555555555,0.0,0.55,0.0,0.11,0.045,368,-1.5943362146666675,4.6230103672853025,0.7214834532990116,3
alfredo light,0.06307692307692307,0.05,0.02,0.15,0.07371428571428572,0.16833333333333333,0.14400000000000002,0.278,0.19047619047619047,0.097,0.4166666666666667,0.149,0.1111111111111111,0.0,0.25,0.0,0.095,0.3075,292,-0.6078066933333334,4.418334215013777,0.9991460219216077,1
alfredo mostaccioli,0.3892307692307693,0.75,0.2533333333333333,0.19458333333333333,0.051428571428571435,0.14133333333333334,0.08800000000000001,0.20600000000000002,0.06349206349206349,0.2892,0.16666666666666666,0.101,0.1111111111111111,0.0,0.2,0.0,0.085,0.3125,430,-8.406719529333335,4.379925604126169,0.7599151789024048,3
