recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob,labels,ingred_similarity
tropical grilled pork chops,0.11076923076923076,0.1,0.12333333333333335,0.38666666666666666,0.10028571428571427,0.12366666666666667,0.08,0.302,1.0793650793650793,0.0944,0.26666666666666666,0.022000000000000002,0.05555555555555555,0.0,0.3,0.0,0.055,0.0275,269,-2.9995824720000006,4.601046929091411,0.9997977383937487,1,0.9462417815490783
pork chops with tangy honey sauce,0.1123076923076923,0.15,0.13,0.1375,0.07857142857142857,0.08033333333333334,0.008,0.29600000000000004,0.7301587301587301,0.0008,0.0,0.016,0.05555555555555555,0.0,0.3,0.0,0.045,0.0125,219,-1.3999728373333329,4.222493876851926,0.9544314470648094,1,0.9398729664622428
okinawa shoyu pork,0.24,0.25,0.13666666666666666,0.8629166666666667,0.08342857142857144,0.09,0.012,0.308,0.7619047619047619,0.003,0.0,0.027000000000000003,0.05555555555555555,0.0,0.35,0.0,0.0625,0.01,331,-7.153936973333335,4.295080652716298,0.93251896844359,1,0.9396028949532906
purple apple slaw with peanut butter dressing,0.3169230769230769,0.15,0.0,0.22333333333333333,0.10257142857142858,0.077,0.14400000000000002,0.106,0.5079365079365079,0.161,0.7166666666666667,0.053,0.05555555555555555,0.0,0.15,0.0,0.1,0.0675,282,-3.24653968,3.831709702031064,0.9999831516436692,1,0.9386921600544309
slow cooker pineapple chicken,0.18,0.15,0.21333333333333326,0.8120833333333334,0.12142857142857146,0.2073333333333333,0.068,0.472,1.0793650793650793,0.0422,0.2,0.052000000000000005,0.2222222222222222,0.0,0.55,0.0,0.1325,0.1975,448,-6.092064169333336,4.317076556421505,0.8739500586669566,1,0.9300708549186347
miso and soy chilean sea bass,0.05692307692307692,0.05,0.15666666666666668,0.6720833333333334,0.11228571428571428,0.09300000000000001,0.056,0.494,0.6984126984126984,0.0478,0.016666666666666666,0.042,0.05555555555555555,0.0,0.35,0.0,0.1625,0.0325,287,-2.453159364,4.163619241357728,0.9955639094220836,1,0.9247459792288055
balsamic pear chicken and asparagus,0.11384615384615385,0.1,0.23,0.029166666666666667,0.19142857142857145,0.11166666666666666,0.244,0.5820000000000001,0.6984126984126984,0.18100000000000002,0.25,0.078,0.2222222222222222,0.0,0.9,0.5,0.135,0.2,309,1.3966218866666666,4.2523256839389845,0.9980245952301912,1,0.9246608347248754
sweet n hot glazed salmon,0.14461538461538462,0.1,0.16666666666666666,0.13375,0.16428571428571428,0.102,0.064,0.364,0.8888888888888888,0.3392,0.08333333333333333,0.028999999999999998,0.05555555555555555,0.0,0.55,0.5,0.09,0.065,275,-0.9276988626666668,4.3796191578189765,0.9769760446550532,1,0.9245922739371155
chinese steamed buns with meat filling,0.02769230769230769,0.0,0.04666666666666667,0.055,0.013999999999999999,0.002666666666666667,0.0,0.06,0.031746031746031744,0.0032,0.0,0.006,0.0,0.0,0.05,0.0,0.0125,0.0025,33,0.5430889839999999,4.164589803375032,0.99998986988591,1,0.9244652409563431
oven baked chicken teriyaki,0.04461538461538461,0.05,0.22333333333333333,0.9104166666666668,0.09657142857142856,0.133,0.028,0.562,0.984126984126984,0.019,0.016666666666666666,0.028999999999999998,0.1111111111111111,0.0,0.95,0.5,0.115,0.035,315,-4.1462550533333316,4.312520729715661,0.9988224602313376,1,0.9224703950741965
