recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob,labels,ingred_similarity
zucchini parmesan,0.17692307692307693,0.2,0.05333333333333334,0.21333333333333326,0.19457142857142856,0.07,0.188,0.166,0.3809523809523809,0.3936,0.16666666666666666,0.221,0.05555555555555555,0.0,0.3,0.0,0.14,0.1,217,-2.585689468,4.437299058577872,0.8789570852214481,1,0.9184937884847469
california primavera,0.17692307692307693,0.1,0.0033333333333333327,0.3470833333333333,0.12142857142857146,0.13833333333333336,0.128,0.162,0.19047619047619047,0.1142,0.18333333333333326,0.068,0.16666666666666666,0.6666666666666666,0.3,0.0,0.1025,0.285,296,-3.0859685293333343,4.474410266371411,0.9963370437427744,1,0.8934026742057194
ricotta stuffed squash,0.1246153846153846,0.2,0.19666666666666666,0.2645833333333333,0.2782857142857143,0.07466666666666666,0.236,0.166,0.4126984126984127,1.0386,0.65,0.145,0.1111111111111111,0.0,0.3,0.5,0.21,0.325,185,-2.8815022346666668,4.231143530541086,0.953093539386874,1,0.8875173160312261
spaghetti and sausage nests,0.17846153846153845,0.2,0.08666666666666667,0.3,0.028857142857142856,0.17666666666666667,0.16399999999999998,0.35,0.0,0.0154,0.0,0.11699999999999999,0.0,0.0,0.15,0.0,0.0225,0.0075,387,-2.737748952,4.205881297782883,0.926887676140796,1,0.8605674243264979
cajun pasta fresca,0.1153846153846154,0.1,0.03,0.4908333333333333,0.10628571428571428,0.154,0.128,0.244,0.15873015873015872,0.187,0.2333333333333333,0.134,0.1111111111111111,0.0,0.25,0.0,0.105,0.325,294,-3.3844600600000003,4.545689399034815,0.9459300990922224,1,0.8584351435275077
peppered bacon and tomato linguine,0.11692307692307692,0.1,0.05333333333333334,0.3420833333333333,0.08971428571428572,0.19166666666666668,0.132,0.324,0.12698412698412698,0.1234,0.1,0.075,0.2222222222222222,0.0,0.35,0.0,0.105,0.3775,362,-2.336102325333333,4.507704073887704,0.8650430701275823,1,0.8479199930426915
portobello stuffed mushroom burger,0.07692307692307693,0.1,0.02666666666666667,0.18041666666666667,0.2017142857142857,0.09466666666666666,0.128,0.208,0.09523809523809523,0.2966,0.06666666666666668,0.14300000000000002,0.16666666666666666,0.0,0.4,0.0,0.09,0.245,195,-0.9941642746666663,4.391555654224808,0.9797063149547676,1,0.8470745657484622
amatriciana,0.1153846153846154,0.1,0.04,0.2925,0.20657142857142846,0.3253333333333333,0.252,0.43,0.3809523809523809,0.0892,0.3,0.128,0.3333333333333333,0.0,0.5,0.0,0.21,0.6,529,-2.5872306960000007,4.324508856644147,0.9997802500193086,1,0.8403202966615606
tomato and garlic pasta,0.1046153846153846,0.05,0.013333333333333334,0.09833333333333333,0.2025714285714285,0.13966666666666666,0.2,0.206,0.25396825396825395,0.402,0.5166666666666667,0.086,0.1111111111111111,0.0,0.25,0.0,0.075,0.19,260,-0.5866380933333333,4.560176082606339,0.9999317624853,1,0.8377827777237552
pasta with tomato cream sauce,0.2230769230769231,0.3,0.09666666666666666,0.5304166666666666,0.2411428571428572,0.2053333333333333,0.29600000000000004,0.25,0.5714285714285714,0.2406,0.08333333333333333,0.154,0.16666666666666666,0.0,0.55,0.0,0.1225,0.17,425,-6.283357161333332,4.443999346876716,0.9412610148345164,1,0.8362650688129727
