recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
a good easy garlic chicken,0.3941885530867371,0.5477225575051661,0.5507570547286101,0.39157800414902433,0.3065941943351178,0.07527726527090808,0.08944271909999159,0.7429670248402684,0.1781741612749496,0.265329983228432,0.18257418583505536,0.15165750888103102,0.23570226039551584,0.0,0.9746794344808963,0.7071067811865476,0.2958039891549808,0.1224744871391589
a jerky chicken,0.20380986614602722,0.22360679774997896,0.4760952285695233,0.6396613687465162,0.33166247903553997,0.21213203435596426,0.10954451150103323,0.7549834435270749,0.563436169819011,0.10954451150103323,0.25819888974716115,0.17888543819998318,0.23570226039551584,0.0,0.9746794344808963,0.7071067811865476,0.32787192621510003,0.1414213562373095
acapulco chicken,0.4624350266212042,0.3872983346207417,0.4898979485566356,0.5143766454003654,0.4604345773288535,0.2816617356570348,0.4427188724235731,0.7758865896508329,0.4364357804719847,0.6736467917239716,1.1972189997378646,0.25298221281347033,0.408248290463863,0.0,0.9746794344808963,0.7071067811865476,0.3840572873934304,0.324037034920393
actually delicious turkey burgers,0.38230072737812854,0.3872983346207417,0.5477225575051661,0.3840572873934304,0.2888400447108597,0.0875595035770913,0.08944271909999159,0.6465291950097846,0.0,0.15231546211727817,0.18257418583505536,0.15165750888103102,0.3333333333333333,0.0,0.6324555320336759,0.0,0.2449489742783178,0.18708286933869708
adobo chicken with ginger,0.7264243303278791,0.7071067811865476,0.752772652709081,0.7536024593024273,0.38766701469910264,0.13291601358251257,0.1414213562373095,0.9402127418834527,0.0,0.2541653005427767,0.3415650255319866,0.21908902300206645,0.408248290463863,0.0,1.0954451150103321,0.7071067811865476,0.3840572873934304,0.20615528128088303
african chicken stew,0.7442084075352507,0.5916079783099616,0.5773502691896257,0.5082650227325636,0.48579831205964474,0.324037034920393,0.5059644256269407,0.9348796714016195,0.3563483225498992,0.2874021572639983,0.5163977794943222,0.2683281572999748,0.4714045207910317,0.0,0.8660254037844386,0.7071067811865476,0.5408326913195983,0.5024937810560445
aimees quick chicken,0.3328201177351375,0.3872983346207417,0.5196152422706632,0.8643398251459511,0.2699206232527312,0.17126976771553507,0.0,0.8049844718999243,0.3086066999241838,0.11045361017187261,0.0,0.3563705936241092,0.23570226039551584,0.0,0.9219544457292888,0.0,0.3082207001484488,0.1224744871391589
alaska salmon bake with pecan crunch coating,0.5870395085642742,0.5477225575051661,0.5507570547286101,0.38351444996679507,0.34226138716316973,0.23021728866442676,0.27568097504180444,0.7224956747275377,0.4364357804719847,0.2908607914449797,0.42817441928883754,0.2,0.23570226039551584,0.0,0.7416198487095663,0.0,0.33166247903553997,0.21213203435596426
alfredo light,0.2511511956509924,0.22360679774997896,0.1414213562373095,0.3872983346207417,0.2715037489875337,0.4102844541697057,0.37947331922020555,0.5272570530585627,0.4364357804719847,0.31144823004794875,0.6454972243679028,0.38600518131237566,0.3333333333333333,0.0,0.5,0.0,0.3082207001484488,0.5545268253204708
alfredo mostaccioli,0.6238836183382036,0.8660254037844386,0.5033222956847166,0.4411160089288682,0.22677868380553634,0.3759432581299116,0.2966479394838265,0.4538722287164087,0.25197631533948484,0.5377731863899501,0.408248290463863,0.3178049716414141,0.3333333333333333,0.0,0.4472135954999579,0.0,0.29154759474226505,0.5590169943749475
