recipename,ingred_similarity
garlic chicken fragrant rice on a budget,0.3215691094202032
mock chicken,0.29289321881345254
microwave corn on the cob in the husk,0.29289321881345254
gingery mung bean sprouts pancake,0.26553106644285396
slow cooker honey garlic chicken,0.2615832965459961
stir fried sesame vegetables with rice,0.20532401276470835
whole rice and lentils majadara,0.20202142916170607
easy stovetop chicken teriyaki in orange ginger garlic sauce,0.19896980787261997
thai style cucumber salad,0.19483045640057517
norris sesame pasta salad,0.19040215876597977
