recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob,labels,ingred_similarity
mushroom meatloaf with glaze,0.2646153846153846,0.3,0.4533333333333333,0.4,0.14771428571428571,0.09666666666666666,0.06,0.512,0.5714285714285714,0.0706,0.11666666666666667,0.101,0.16666666666666666,0.0,0.55,0.0,0.0925,0.1075,374,-3.8052763946666657,3.9526457679825016,0.8949649740359781,3,0.8242133503361706
mock filets,0.4138461538461538,0.5,0.4266666666666667,0.5020833333333333,0.10057142857142858,0.066,0.027999999999999997,0.402,0.31746031746031744,0.0556,0.05,0.05,0.16666666666666666,0.0,0.45,0.0,0.065,0.075,404,-6.8634675279999975,4.298963897942504,0.8761999830309662,3,0.8142201351274185
brown sugar meatloaf with ketchup glaze,0.18769230769230769,0.25,0.3433333333333333,0.3,0.09342857142857144,0.076,0.024,0.382,0.5714285714285714,0.053,0.05,0.043,0.1111111111111111,0.0,0.35,0.0,0.0575,0.0575,278,-3.0402783066666674,4.455806913673113,0.8712412379595256,3,0.8051890642656728
all white meat meatloaf,0.25538461538461543,0.25,0.3466666666666667,0.5995833333333334,0.10428571428571427,0.09766666666666668,0.044000000000000004,0.4920000000000001,0.2857142857142857,0.0334,0.016666666666666666,0.055,0.16666666666666666,0.0,0.6,0.0,0.08,0.1025,369,-4.377966458666666,3.990151756692472,0.9458032110262408,3,0.7812714560186578
brown sugar meatloaf,0.30923076923076925,0.4,0.37333333333333335,0.3179166666666667,0.10714285714285714,0.08033333333333334,0.016,0.368,0.5714285714285714,0.049,0.05,0.061,0.1111111111111111,0.0,0.4,0.0,0.065,0.065,353,-5.014447786666667,4.420119633495248,0.9351200931118059,3,0.7694962377711152
best meatloaf in the whole wide world,0.30923076923076925,0.35,0.4,0.43625,0.1,0.10233333333333333,0.036000000000000004,0.49,0.6666666666666666,0.051,0.1,0.052000000000000005,0.16666666666666666,0.0,0.45,0.0,0.065,0.08,401,-4.8387513800000015,4.336035646755136,0.8951199235123516,3,0.7627346769192277
kims ultimate meatloaf,0.4153846153846154,0.45,0.3566666666666667,0.28875,0.12942857142857142,0.12466666666666665,0.068,0.47200000000000003,0.5079365079365079,0.0372,0.06666666666666668,0.067,0.2222222222222222,0.0,0.4,0.0,0.0775,0.065,490,-5.249931436000002,4.516206587650336,0.9086983130000559,3,0.7623552138426891
bbq oatmeal meatloaf,0.2923076923076923,0.35,0.38333333333333336,0.3775,0.12142857142857146,0.07433333333333332,0.064,0.42200000000000004,0.3809523809523809,0.4282,0.05,0.039,0.1111111111111111,0.0,0.45,0.0,0.0825,0.05,349,-4.306383682666668,4.349537281456598,0.9268492109129548,3,0.7462536105068474
hot dog pie,0.4476923076923077,0.6,0.22333333333333333,0.5854166666666667,0.11371428571428573,0.113,0.10400000000000001,0.424,0.4444444444444444,0.0814,0.03333333333333333,0.16699999999999998,0.16666666666666666,0.0,0.4,0.0,0.1,0.07,479,-8.364226365333332,4.181431187394934,0.8943542107059673,3,0.7393099048828012
bierrocks ii,0.2353846153846154,0.35,0.16333333333333333,0.40875,0.06657142857142857,0.13833333333333336,0.172,0.426,0.15873015873015872,0.0528,0.2833333333333333,0.196,0.2222222222222222,0.0,0.2,0.0,0.055,0.225,398,-4.253798930666667,4.237958413265972,0.9453076511817976,3,0.7361886530653785
bbq glazed homemade meatballs,0.15692307692307692,0.2,0.18333333333333326,0.20166666666666666,0.09057142857142857,0.101,0.044000000000000004,0.252,0.7619047619047619,0.0878,0.06666666666666668,0.07200000000000001,0.1111111111111111,0.0,0.25,0.0,0.0725,0.0325,259,-2.8602378973333336,4.5894137863943785,0.8701206892708504,1,0.814294178915487
pats baked oatmeal,0.06615384615384615,0.05,0.14666666666666667,0.07541666666666667,0.07285714285714286,0.13233333333333333,0.196,0.154,0.4761904761904762,0.028,0.03333333333333333,0.121,0.1111111111111111,0.0,0.1,0.0,0.1575,0.0625,224,-0.9088741399999998,4.154591190585878,0.99996139477472,1,0.7656479203365698
imitation meatloaf,0.0876923076923077,0.1,0.22,0.2075,0.15257142857142858,0.17733333333333334,0.456,0.348,0.15873015873015872,0.0594,0.06666666666666668,0.14400000000000002,0.2777777777777778,0.6666666666666666,0.35,0.0,0.2325,0.47,331,-0.903075505333334,4.400942281453331,0.998186564676394,1,0.7010603816886433
swedish klimp,0.05538461538461538,0.1,0.18,0.38666666666666666,0.06085714285714286,0.15533333333333335,0.06,0.204,0.15873015873015872,0.0468,0.0,0.122,0.16666666666666666,0.0,0.25,0.0,0.06,0.2775,265,-3.0779499839999978,3.8777830745628656,0.8907905066477293,1,0.6700199064318941
potato dumplings ii,0.02923076923076923,0.05,0.20666666666666667,0.17458333333333334,0.04057142857142857,0.060333333333333336,0.04,0.086,0.0,0.0162,0.016666666666666666,0.015,0.05555555555555555,0.0,0.1,0.0,0.0125,0.09,108,-1.083926456,3.9721283019170697,0.8886109261716257,1,0.6668273797658836
bread machine swedish coffee bread,0.07076923076923076,0.1,0.12,0.08125,0.039714285714285716,0.17600000000000002,0.068,0.15,0.31746031746031744,0.0352,0.0,0.05,0.16666666666666666,0.0,0.25,0.0,0.0425,0.2775,283,-1.832667176,4.483742423194695,0.9973106486887612,1,0.6659169341179991
black bean rice burgers,0.14615384615384616,0.2,0.19333333333333333,0.4966666666666666,0.18657142857142853,0.25,0.456,0.488,0.12698412698412698,0.0654,0.08333333333333333,0.305,0.3333333333333333,0.6666666666666666,0.45,0.0,0.2325,0.39,484,-3.4426782853333333,4.164589803375032,0.9174732242494392,1,0.6594145163044415
shredded turkey barbecue,0.08923076923076922,0.05,0.23,0.55,0.16542857142857142,0.20233333333333334,0.23199999999999998,0.516,0.6031746031746031,0.0402,0.03333333333333333,0.061,0.2222222222222222,0.0,0.55,0.0,0.1425,0.0725,385,-2.4394522426666674,4.257284113778022,0.9841873014258292,1,0.6408920741399444
potato rolls,0.04307692307692308,0.05,0.03,0.06916666666666668,0.018285714285714287,0.07133333333333333,0.032,0.064,0.09523809523809523,0.006,0.0,0.018000000000000002,0.05555555555555555,0.0,0.1,0.0,0.02,0.135,125,-0.5978866133333333,4.5179081957935825,0.9994563693487144,1,0.6205680655093687
japanese shrimp sauce ii,0.2415384615384616,0.1,0.04,0.15,0.006857142857142857,0.049666666666666665,0.008,0.012,0.19047619047619047,0.0432,0.016666666666666666,0.008,0.0,0.0,0.0,0.0,0.005,0.0075,198,-2.4507808826666664,4.132964607550527,0.9994076829406572,1,0.6169300693818011
sloppy joe pockets,0.17384615384615384,0.25,0.1,0.22083333333333333,0.05,0.051333333333333335,0.012,0.172,0.15873015873015872,0.0372,0.03333333333333333,0.026,0.05555555555555555,0.0,0.2,0.0,0.0325,0.0525,197,-2.9869966026666677,4.105134108378467,0.8771303135475534,0,0.7706433946437576
best barbequed burgers,0.2353846153846154,0.3,0.3933333333333333,0.12791666666666668,0.08971428571428572,0.022,0.027999999999999997,0.4320000000000001,0.06349206349206349,0.0324,0.03333333333333333,0.025,0.16666666666666666,0.0,0.45,0.0,0.0675,0.0425,255,-1.4522387453333334,4.570311617960655,0.8982537581324014,0,0.7608517442804626
