recipename,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate,Calories,Health Score,ratings,class_prob,labels,ingred_similarity
daves mocha chicken,0.6753846153846154,0.5,0.6933333333333334,1.1254166666666667,0.18514285714285714,0.10966666666666666,0.02,0.966,0.8571428571428571,0.062,0.1,0.06,0.2222222222222222,0.0,1.2,0.5,0.1875,0.085,731,-9.248054893333334,4.358288973634198,0.9999999998961576,2,0.9580361877496202
boiled baked ribs,0.4707692307692308,0.55,0.39,1.4966666666666666,0.12542857142857142,0.08033333333333334,0.036000000000000004,0.508,0.4761904761904762,0.0758,0.08333333333333333,0.105,0.16666666666666666,0.0,0.45,0.0,0.09,0.0275,466,-13.08876983733333,4.453149923317233,0.9999617849697084,2,0.9574626199705829
aloha chicken,0.36615384615384616,0.35,0.47,0.9483333333333334,0.16942857142857146,0.09133333333333332,0.036000000000000004,0.794,0.7619047619047619,0.1416,0.2,0.047,0.16666666666666666,0.0,0.9,0.5,0.1425,0.05,485,-6.346414707999999,4.5958446411562,0.9976481169049046,2,0.9530672352332287
chinese five spice spare ribs,0.963076923076923,1.1,0.8,0.4533333333333333,0.19514285714285715,0.038,0.008,1.1740000000000002,0.2857142857142857,0.0042,0.0,0.11,0.2777777777777778,0.6666666666666666,1.2,0.5,0.14,0.0275,855,-9.011388062666665,4.137110004773785,0.9999999999988098,2,0.9501305728824394
singaporean tender pork spare ribs,0.8307692307692308,0.7,0.7666666666666667,0.5383333333333333,0.18914285714285714,0.08399999999999999,0.128,0.574,0.4761904761904762,0.0982,1.2,0.138,0.2222222222222222,0.0,0.55,0.0,0.125,0.16,693,-9.705848449333331,4.06609839595692,0.9991128119071999,2,0.949028940703482
lime spareribs,0.9230769230769232,0.9,0.6033333333333334,0.5166666666666667,0.18942857142857145,0.029,0.024,0.728,0.19047619047619047,0.0012,0.15,0.044000000000000004,0.16666666666666666,0.6666666666666666,0.85,0.5,0.11,0.0175,725,-9.897144256,4.08073927539216,0.999987652914373,2,0.9477462444495344
indonesian pork satay,0.7630769230769231,1.0,0.52,0.9716666666666668,0.24285714285714285,0.07366666666666667,0.168,0.8320000000000001,0.3492063492063492,0.2308,0.13333333333333333,0.057999999999999996,0.16666666666666666,0.6666666666666666,0.95,0.5,0.305,0.185,682,-12.53872323733333,4.239049546110917,0.9999988609735184,2,0.9443761917870513
huli huli chicken,0.3969230769230769,0.35,0.4866666666666667,0.5016666666666667,0.16314285714285715,0.07866666666666668,0.02,0.95,0.6031746031746031,0.0658,0.11666666666666667,0.052000000000000005,0.16666666666666666,0.0,0.75,0.5,0.135,0.06,527,-2.578799870666665,4.258576008187181,0.8991424642779571,2,0.9443318634061416
asian style country ribs,0.676923076923077,0.65,0.59,1.05375,0.17857142857142858,0.04633333333333334,0.02,0.968,0.31746031746031744,0.0028,0.05,0.08,0.16666666666666666,0.6666666666666666,0.95,0.5,0.1525,0.0175,653,-8.961989264,4.110476180332516,0.9999982765879024,2,0.9416790847526358
prime rib roast,0.783076923076923,1.0,0.37666666666666665,0.13333333333333333,0.12257142857142855,0.033,0.012,0.602,0.25396825396825395,0.0012,0.016666666666666666,0.027999999999999997,0.16666666666666666,0.0,0.5,0.0,0.08,0.0325,630,-8.525776922666664,4.204075190953093,0.9953815698871058,2,0.9397569162706559
